capa_id,company,recall_id,product_res_number,recalling_firm,product_description,nonconformity,original_root_cause,corrected_root_cause,department,assigned_owner,severity,capa_status,open_date,close_date,days_open,overdue,corrective_action,effectiveness_result
CAPA-MF-1034,MedFluss GmbH,157839,Z-0313-2018,Smiths Medical ASD Inc.,"Medfusion, Syringe Infusion Pump, Software Version V1.1, Rx Only, Manufactured by Smiths Medical ASD, Inc., 1500 Eureka Park, Lower Pemberton, Ashford, Kent, TN25 4BF, UK. 

In the administration of fluids requiring precisely controlled infusion rates including blood or blood products, lipids, drugs, antibiotics, enteral solutions and other therapeutic fluids.","Potential for the syringe barrel clamp mechanism to loosen, decreasing the pump's ability to accurately detect the diameter of the syringe barrel, resulting in the unit to initiate the ""Invalid Syringe Size"" alarm.",Component design/selection,Component design/selection,Quality Assurance,Thomas Becker,Major,Closed,2023-08-04,2023-10-06,63,No,"The firm,Smiths Medical, sent an, ""Urgent Medical Device Recall"" Amendment Notice (amending the original August 2017) concerning invalid syringe size alarms on certain Medfusion Syringe Pump Model Series 3500 and 4000. The letter described the product, problem, actions to be to taken, and updated changes, as follows:
1. Locate the affected Medfusion Syringe Pump(s) by referring to the list of affected devices on the attached Urgent Medical Device Recall Notice Response Form. This form provides the specific serial number(s) your organization purchased. Each pump has a unique serial number which can be found on the label located on the bottom of the pump.
If you have ten (10) or more affected pumps in your possession, please select one of the following repair options:
a. Repair at your Facility: Contact Smiths Medical to schedule a technician to visit your facility and complete the necessary repairs onsite.
b. Send to Smiths Medical for Repair: Impacted pumps may be sent to a Smiths Medical Service Center, where repairs will be completed. A prepaid shipping label will be provided. Repairs will be completed within ten (10) business days of receipt. Loaner units are available upon request.
c. NEW OPTION - Biomedical Department self-repair at your Facility: Contact Smiths Medical to receive the necessary parts and work instruction to have your biomed team complete the necessary repairs onsite.
If you have nine (9) or fewer affected pumps in your possession:
a. Send to Smiths Medical for Repair: Impacted pumps may be sent to a Smiths Medical Customer Service Center, where repairs will be completed. A prepaid shipping label will be provided. Repairs will be completed within ten (10) business days of receipt. Loaner units are available upon request.
b. NEW OPTION - Biomedical Department Self-Repair at Your Facility: Contact Smiths Medical to receive the necessary parts and work instruction to have your biomed team complete the necessary repairs onsite.
To initi",Effective
CAPA-MF-1035,MedFluss GmbH,159786,Z-0697-2018,Zevex Incorporated (dba Moog Medical Medical Devices Group),"MOOG Curlin Infusion Administration Set, Ref 340-4114, Non-DEHP Microbore Tubing with Non-Vented Bag Spike, packaged 20/box, for use with the MOOG Curlin Ambulatory Volumetric Infusion Pump, RX, Sterile.  

Product Usage:
Administration set to be used with the Moog Curlin infusion Pump. The pump can be used for intravenous, intra-arterial, epidural, subcutaneous, or enteral infusions.",Particulate found on the Curlin spike.,Nonconforming Material/Component,Nonconforming Material/Component,Quality Assurance,Thomas Becker,Major,Closed,2024-11-05,2024-12-23,48,No,"The recalling firm began issuing letters via USPS certified mail with return receipt on 11/10/2017 and concluded on 11/13/2017.  Updated letters dated 11/20/2017 were issued via certified mail to distributors and to medical facilities.  The distributor letter emphasized their instructions to notify downstream accounts.  The medical facility letter updated lot numbers.

The letter described the issue, risk to health, and actions the customer was to take.  A response form was enclosed to report whether the customer has inventory they are not returning, that they no longer have inventory of the product, or the amount of product being returned for replacement.  The form was to be returned via FAX or email.",Effective
CAPA-MF-1036,MedFluss GmbH,159789,Z-0700-2018,Zevex Incorporated (dba Moog Medical Medical Devices Group),"MOOG Curlin Infusion Administration Set, Ref 340-4166, Non-DEHP Microbore Tubing with Non-Vented Spike, Anti-Siphon Valve included for Free Flow Protection, packaged 20/box, for use with the Moog Curlin Ambulatory Volumetric Infusion Pump, RX, Sterile.  

Product Usage:
Administration set to be used with the Moog Curlin infusion Pump. The pump can be used for intravenous, intra-arterial, epidural, subcutaneous, or enteral infusions.",Particulate found on the Curlin spike.,Nonconforming Material/Component,Nonconforming Material/Component,Quality Assurance,Sarah Müller,Major,Closed,2023-07-25,2023-11-10,108,No,"The recalling firm began issuing letters via USPS certified mail with return receipt on 11/10/2017 and concluded on 11/13/2017.  Updated letters dated 11/20/2017 were issued via certified mail to distributors and to medical facilities.  The distributor letter emphasized their instructions to notify downstream accounts.  The medical facility letter updated lot numbers.

The letter described the issue, risk to health, and actions the customer was to take.  A response form was enclosed to report whether the customer has inventory they are not returning, that they no longer have inventory of the product, or the amount of product being returned for replacement.  The form was to be returned via FAX or email.",Partially Effective
CAPA-MF-1037,MedFluss GmbH,163558,Z-1667-2018,Baxter Healthcare Corporation,"Baxter Sigma Spectrum Infusion Pump with Master Drug Library (Version 6) 35700BAXRE

Product Usage:
The Baxter Sigma Spectrum Infusion Pump with master Drug Library is intended to be used for the controlled administration of fluids. These fluids may includes pharmaceutical drugs, blood, blood products and mixture if required patient therapy. The intended routes of administration consist of the following clinically accepted routes: intravenous, arterial, subcutaneous, intrathecal, epidural or irrigation of fluids. Spectrum infusion pump is intended to be used in conjunction with legally marketed intravenous administration sets and medications provided by user. The Spectrum and Spectrum with MAster Drug Library is intended to reduce operator interaction through automated programming thereby helping to reduce errors associated with complex device programming.","Service technician improperly documented final release testing on product, indicating that the full battery of release tests were performed when, in fact, several tests were omitted. he omitted tests include air-in-line detection at 400ml/hr and 800ml/hr and verification of upstream occlusion detection at 800ml/hr. Improper detection of air-in-line or upstream occlusion may result in serious adverse health consequences.",Employee error,Employee error,Quality Assurance,Thomas Becker,Major,Closed,2022-03-07,2022-05-29,83,No,"On 4/3/18, Baxter HealthCare Corporation mailed URGENT MEDICAL DEVICE CORRECTION notices and Reply Forms to customers via first class mail.  

Actions to be Taken by Customers:
1. Locate and discontinue use of all affected pumps at your facility.
2. Return the device to Baxter for testing. To arrange for return of affected devices, contact Baxter at 800-356-3454 between the hours of 7:00 am and 7:00 pm Eastern Time, Monday through Friday. Please have your Baxter 8-digit ship-to account number, product code, serial number, and quantity of devices to be returned ready when calling.
3. If you purchased this product directly from Baxter, complete the enclosed Baxter Customer Reply Form and return it to Baxter by faxing it to 224-270-5457 or via email to fca@baxter.com even if you do not have inventory.  
4. If you purchased this product from a distributor, please note that the Baxter customer reply form is not applicable.  If a reply form is provided by your distributor or wholesaler, please return it to the supplier according to their instructions.  
5. If you distribute this product to other facilities or departments within your institution, please forward a copy of this communication to them.
6. If you are a dealer, wholesaler, distributor/reseller, or original equipment manufacturer (OEM) that distributed any affected product to other facilities, please notify your customers.",Not Effective
CAPA-MF-1038,MedFluss GmbH,163556,Z-1665-2018,Baxter Healthcare Corporation,"Baxter Sigma Spectrum Infusion Pump with Master Drug Library (Version 6) 35700BAXR

Product Usage:
The Baxter Sigma Spectrum Infusion Pump with master Drug Library is intended to be used for the controlled administration of fluids. These fluids may includes pharmaceutical drugs, blood, blood products and mixture if required patient therapy. The intended routes of administration consist of the following clinically accepted routes: intravenous, arterial, subcutaneous, intrathecal, epidural or irrigation of fluids. Spectrum infusion pump is intended to be used in conjunction with legally marketed intravenous administration sets and medications provided by user. The Spectrum and Spectrum with MAster Drug Library is intended to reduce operator interaction through automated programming thereby helping to reduce errors associated with complex device programming.","Service technician improperly documented final release testing on product, indicating that the full battery of release tests were performed when, in fact, several tests were omitted. he omitted tests include air-in-line detection at 400ml/hr and 800ml/hr and verification of upstream occlusion detection at 800ml/hr. Improper detection of air-in-line or upstream occlusion may result in serious adverse health consequences.",Employee error,Employee error,Quality Assurance,Sarah Müller,Major,Closed,2022-12-01,2023-03-03,92,No,"On 4/3/18, Baxter HealthCare Corporation mailed URGENT MEDICAL DEVICE CORRECTION notices and Reply Forms to customers via first class mail.  

Actions to be Taken by Customers:
1. Locate and discontinue use of all affected pumps at your facility.
2. Return the device to Baxter for testing. To arrange for return of affected devices, contact Baxter at 800-356-3454 between the hours of 7:00 am and 7:00 pm Eastern Time, Monday through Friday. Please have your Baxter 8-digit ship-to account number, product code, serial number, and quantity of devices to be returned ready when calling.
3. If you purchased this product directly from Baxter, complete the enclosed Baxter Customer Reply Form and return it to Baxter by faxing it to 224-270-5457 or via email to fca@baxter.com even if you do not have inventory.  
4. If you purchased this product from a distributor, please note that the Baxter customer reply form is not applicable.  If a reply form is provided by your distributor or wholesaler, please return it to the supplier according to their instructions.  
5. If you distribute this product to other facilities or departments within your institution, please forward a copy of this communication to them.
6. If you are a dealer, wholesaler, distributor/reseller, or original equipment manufacturer (OEM) that distributed any affected product to other facilities, please notify your customers.",Effective
CAPA-MF-1039,MedFluss GmbH,149354,Z-0356-2017,,"Contact Detach, 8mm, 23"", G29; Contact Detach 8 mm, 43"", G29; Contact Detach, 6mm, 23"" G29; Infusion Set, Contact Detach, 6mm x 23""; Infusion Set, Contact Detach, 6mm x 32""; Infusion Set, Contact Detach, 8mm x 23""; Infusion Set, Contact Detach, 8mm x 32""
The products are used in combination with insulin infusion pumps for continuous subcutaneous infusion of insulin",Tubing detachment,Device Design,Device Design,Design & Development,Mohammed Al-Farsi,Major,Closed,2023-11-19,2024-03-05,107,No,"ConvaTec sent an Urgent Medical Device Correction  letter to all affected consignees on November 7, 2014.  The letter notified the consignees of what action they need to take if they experience a detached tubing.  
You can continue to use your infusion sets by following the advice below.
1. When changing your infusion set, closely follow the instructions for use included in the product box. Check the tubing at the connect/disconnect location identified in the drawings above to make sure it is not loose.
2. As always, it is essential to monitor your blood sugar levels frequently using your blood glucose meter. Proactively check your tubing connections occasionally throughout the day to ensure tubing is secure. It is especially important to check your blood sugar and tubing connections at bedtime to confirm insulin delivery is occurring.
3. If you experience a high blood sugar, check your tubing connections and infusion site closely to ensure your tubing is secure.
If you discover the tubing is detached:
1. Do not attempt to reattach the tubing. Replace the infusion set immediately.
2. Treat any high blood sugar based on guidelines provided by your healthcare professional.
3. Call your distributor's Helpline to report the issue. They will give you instructions on how to return the affected infusion set.
The letter included a reply card to be returned.",Partially Effective
CAPA-MF-1040,MedFluss GmbH,149360,Z-0359-2017,,"Silhouette Paradigm 13mm, 18""; Silhouette 43""; Silhouette 23""; Silhouette Paradigm 43""; Silhouette Paradigm 23""; Silhouette Paradigm 13mm, 23""; Silhouette Paradigm 13mm, 43""; Silhouette Paradigm 13mm, 32""; Silhouette Paradigm 32""
The products are used in combination with insulin infusion pumps for continuous subcutaneous infusion of insulin",Tubing detachment,Device Design,Device Design,Design & Development,Emma Fischer,Minor,Closed,2024-04-14,2024-09-14,153,No,"ConvaTec sent an Urgent Medical Device Correction  letter to all affected consignees on November 7, 2014.  The letter notified the consignees of what action they need to take if they experience a detached tubing.  
You can continue to use your infusion sets by following the advice below.
1. When changing your infusion set, closely follow the instructions for use included in the product box. Check the tubing at the connect/disconnect location identified in the drawings above to make sure it is not loose.
2. As always, it is essential to monitor your blood sugar levels frequently using your blood glucose meter. Proactively check your tubing connections occasionally throughout the day to ensure tubing is secure. It is especially important to check your blood sugar and tubing connections at bedtime to confirm insulin delivery is occurring.
3. If you experience a high blood sugar, check your tubing connections and infusion site closely to ensure your tubing is secure.
If you discover the tubing is detached:
1. Do not attempt to reattach the tubing. Replace the infusion set immediately.
2. Treat any high blood sugar based on guidelines provided by your healthcare professional.
3. Call your distributor's Helpline to report the issue. They will give you instructions on how to return the affected infusion set.
The letter included a reply card to be returned.",Effective
CAPA-MF-1041,MedFluss GmbH,148697,Z-2894-2016,Zyno Medical LLC,"Zyno Medical Administration Set, Sterile. Rx
For Use with Zyno Medical Infusion Pumps or Gravity Feed
Product Code: A2-80072-F
Product Usage:
Zyno Medical Administration Set is a device used to administer fluids from a container to a patients vascular system through a needle or a catheter inserted into a vein.",Administration Set potential filter leaking,Process control,Process control,Manufacturing,Lisa Hartmann,Minor,Closed,2023-03-09,2023-03-26,17,No,"Zyno issued Recall letter dated July 26th, 2016 to affected customers.  Customers who received affected products were contacted between 7/29/2016 and 8/1/2016. Customers were asked to  return unused product for replacement.
For questions contact Customer Service Representative, at 508-907-7796, or laryloring@zynomed.com.
Expanded Recall: Two recall letters issued on 11/3/2016 to address the newly identified lots. One  letter for customers who received the initial recall letter and the other letter  for newly affected customers who did not receive the initial recall letter.",Effective
CAPA-MF-1042,MedFluss GmbH,149355,Z-2890-2016,EKOS Corporation,"The EKOS cart has the catalog number 700-60101.

The EKOS cart is a custom infusion stand/cart used to hold and transport the EkoSonic Control Unit. The cart is designed with three poles to hold infusion pumps and fluid bags, a tray on which the EkoSonic Control unit sits and a base designed to hold an Uninterruptable Power Supply (UPS). The cart mounts on 4 wheels, two locking and two non-locking.",Casters on the EKOS carts may be missing washers which can cause premature wear and dislodgement of the casters/wheels leading to failure.,Device Design,Device Design,Design & Development,Mohammed Al-Farsi,Major,Closed,2024-10-15,2025-01-14,91,No,"The firm, EKOS, sent an ""URGENT FIELD SAFETY ACTION"" letter dated August 22, 2016 to its customers. The letters were sent to customers informing them of the field safety action, how to identify the affected carts at their facility and instructing customers locate the cart, quarantine it and do not use the cart for any procedures.  A representative from EKOS Corporation will be contacting customers in the near future to arrange a date and time when the cart at a facility can be inspected and any affected caster(s) replaced. As the cart is inspected, it will be tagged to easily identify it and confirm it has been inspected and repaired as necessary. 

Customers will be provided with a copy of the inspection/repair form for the cart they inspect. Please retain that form for records.

If customers have any questions, please contact EKOS Customer Service at 1-888-400-3567 or your local EKOS representative.",Not Effective
CAPA-MF-1043,MedFluss GmbH,155275,Z-2604-2017,Medtronic Inc.,"MiniMed 640G Insulin Infusion Pump, Catalog No. MMT-1511, MMT-1711, MMT-1512, MMT-1712, MMT-1551, MMT-1751, MMT-1552, MMT-1752.","Medtronic MiniMed is recalling the MiniMed 600 series insulin pump because it may become temporarily stuck, and the keypad becomes unresponsive.",Device Design,Device Design,Design & Development,Mohammed Al-Farsi,Critical,Closed,2025-02-06,2025-04-01,54,No,"On May 19, 2017, an Urgent Field Safety Notification letter will be sent to customers to inform them that Medtronic MiniMed is recalling MiniMed 600 series insulin pumps because they may be temporarily stuck, and the keypad becomes unresponsive.  Customers are instructed how the key becomes temporarily unresponsive, how to notice if this happens, and what to do if this happens to their pumps.  Customers with questions or concerns are instructed to find an FAQ and a copy of the letter at http://www.medtronicdiabetes.com/notice6.  Customers can also reach the Medtronic 24-Hour HelpLine at1-888-204-7616.",Effective
CAPA-MF-1044,MedFluss GmbH,148269,Z-2729-2016,Hospira Inc.,"Plum A+3 Infusion Pump.  List Number 12618. The Plum A+ Infusion Systems are a multi-purpose family of devices that provides precise delivery of multiple therapies across the general spectrum of clinical care. The Plum A+ family infusion pumps are self-contained, microprocessor based infusion devices.","The fluid shield diaphragm for the Plum A+ Infusion pumps was undersized, possibly resulting in alarms and delay or interruption of  therapy.",Nonconforming Material/Component,Nonconforming Material/Component,Quality Assurance,Sarah Müller,Major,Closed,2022-09-14,2022-10-30,46,No,"Hospira sent an Urgent Device Field Correction letter, dated February 6, 2013, to customers. Customers were requested to return a reply form to Stericycle indicating that they have received the letter, and notified their users and/or customers. The customers were asked to supply the number of Plum A+ infusers at their facility. Product will be corrected by Hospira in the field.",Partially Effective
CAPA-MF-1045,MedFluss GmbH,150017,Z-0670-2017,Baxter Healthcare Corp.,"sigma spectrum VOLUMETRIC INFUSION PUMP with Master Drug Library, V6 Spectrum Infusion Pump, Product Code 35700BAX and 35700BAXR, Unique Device Identifier GTIN 00085412091570, Rx ONLY -- Sigma, LLC Medina, NY 14103 --- NOTE:  The speakers are a part of the rear case assembly located in the back of the infusion pump.  The speaker is intended to generate audible tones during each keystroke, and during alarm conditions. However, some speakers have a variation in their internal wiring that increases the potential for the speaker to fail prematurely. Spectrum Infusion Pumps with non-functional speakers will continue to display visual alarm indications, and will otherwise continue to operate as intended.",A correction was issued for the SIGMA Spectrum Infusion Pump with Master Drug Library in order to replace speakers installed in pumps or included in spare part rear case assemblies that have an increased potential to fail prematurely.,Process control,Process control,Manufacturing,Carlos Rivera,Minor,Closed,2023-02-14,2023-08-07,174,No,"Baxter sent an Urgent Medical Device Correction letter dated September 28, 2016, to all affected customers.   On 10/27/2016, Baxter Healthcare sent a f/u UMDC Letter (dated 10/27/2016) to customers. The f/u letter contains the device correction plan which states that Baxter will be replacing at no charge the rear case assembly on all affected Sigma Spectrum Infusion Pumps, as well as affected stand-alone rear case assemblies shipped to customers as spare parts.
For questions, please contact your Baxter sales representative, or Baxter Healthcare Medina at 800-356-3454 (choose option 1) Monday through Friday, between 7:00 am and 7:00 pm ET.",Effective
CAPA-MF-1046,MedFluss GmbH,159086,Z-0090-2018,"WalkMed, LLC","Reservoir Bag for WalkMed Infusion Pump Part Number 204820 Catalog Number IPR-86/10 65 mL and Reservoir Bag for WalkMed Infusion Pump Part Number 204821 Catalog Number IPR-150/10 150 mL
The WalkMed Reservoir Bag is designed for use with the WalkMed 350VL Ambulatory pump and is intended to be used as a reservoir and fluid path for administering intravenous, subcutaneous, arterial, enteral, and epidural infusions of antibiotics, analgesics, chemotherapeutic agents, and other medications or fluids. Please note that the WalkMed 350VL pump is contraindicated for: Infusion of blood and blood products, Infusion of insulin, Infusion of critical medications whose stoppage or interruption would cause serious injury or death Use in ambulatory regimens by patients who do not possess the mental, physical, or emotional capability to operate the pump properly; or who are not under the care of a responsible individual.","There have been reported incidents of fluid leaks at the luer connection. Leaks have been confirmed to originate from, or near, the reservoirs clearcolored female luer connecter.",Process control,Process control,Manufacturing,Carlos Rivera,Major,Closed,2023-12-15,2024-03-31,107,No,"WalkMed sent an Urgent Medical Device Recall letter dated September 27, 2017, to all affected customers.  The letter identified the product, the problem, and the action to be taken by the customer.  Customers were instructed to: discontinue distribution of any affected products.
Contact any customers to whom these products were dispensed and inform the customers accordingly based on the following items.
Wear gloves and other personal protective equipment as needed to avoid contact with leaking infusion fluids when handling the product.
Collect and return affected products using proper biohazardous material handling where applicable.
Complete the enclosed Acknowledgement Form to record the return or destruction of the product and return to WalkMed LLC.
Customers with questions were instructed to call 720-351-4966.",Effective
CAPA-MF-1047,MedFluss GmbH,175774,Z-0140-2020,ICU Medical Inc,"Infusion Pump I.V. Administration, specifically Sapphire Microbore Infusion Sets with Inline Filters labeled as SAPPHIRE Primary 1.2 Micron Filter Set Non-Vented, Microbore 311 cm / 8.4 mL.  1 unit per pouch;  1 unit per blister; 40 blisters per case .  Not distributed in the U.S.",Potential for fluid leakage out of air vents on inline filters on Plum and Sapphire micropore infusion sets.,Under Investigation by firm,Under Investigation by firm,Quality Assurance,Sarah Müller,Major,Closed,2024-04-12,2024-07-09,88,No,"ICU Medical notified customers, via Stericycle, Inc., on about 07/29/2019 via ""URGENT: MEDICAL DEVICE CORRECTION"" letter.  Customers were instructed to check inventory and quarantine any sets that are affected by the recall, return them to ICU Medical, inform potential users within your organization of the recall, and complete and return the provided response form.  Please notify customers if affected product was further distributed and request that they contact Stericycle at 1-855-311-5437 (M-F, 8am-5pm ET) to receive a reply form.  

Customers were also requested to consider the following situations:  
1. In applications where the use of a filter is not deemed necessary, consider utilizing an administration set without a filter.  
2. In applications where filter use is desired and microbore tubing is not required, consider using filtered macrobore sets in place of microbore sets.  
3. In cases where a filtered macrobore set is desired but no alternative macrobore set is available contact ICU Medical because a non-filtered set along with an add on filter or filtered extension set could be considered.
4. In instances where the benefits of a filtered microbore infusion set are greater than the potential risks of a filter leak, the product affected by the recall may be utilized out of medical necessity.   In these cases, an individualized assessment of benefits and risks should be undertaken with consideration of the unique characteristics of the patient and the infusion itself.  When the benefits exceed the risks and the set is deemed medically necessary, users should periodically monitor the vented filter area for leakage.  If leaking is observed, consider changing to a new infusion set as soon as clinically appropriate.  Report this event to ICU Medical.",Effective
CAPA-MF-1048,MedFluss GmbH,208850,Z-3141-2024,"CareFusion 303, Inc.","Alaris Syringe Module Model 8110, a modular infusion pump and monitoring system",Due to affected devices that may have bent female IUI connector and may not be operable and potentially cause delays in the start of the infusion or monitoring.,Process control,Process control,Manufacturing,Lisa Hartmann,Major,Open,2026-02-25,,70,No,"On 08/15/2024, the firm sent an ""URGENT MEDICAL DEVICE PRODUCT CORRECTION"" Letter via FedEx /2-day or email to customers informing them that, BD has identified an increase in bent contacts on the new Female/Left IUI connectors which may cause delays in initiating therapy.

Customer are instructed to:
1. Per current labeling, customers should inspect all IUI connectors prior to use. You may also refer to Appendix A for further details.
2. If you identify a bent/lifted IUI pin prior to use, do not use the device and send the device to biomedical engineering or Qualified Service Personnel for repair.
3. Please distribute this notice to all facility personnel responsible for inspection of BD Alaris"" devices.

For questions/assistance - 
Technical Questions - Technical Support - Phone: 1-866-488-1408, Phone hours: 5:00am to 5:00pm PT, Monday   Friday.
Product Complaints - BD Designated Complaint Handling Unit - Phone: 1-888-812-3266
Phone hours: 7:00am to 5:00pm PT, Monday   Friday, Email: productcomplaints@bd.com.
Email for receipt of customer response form and recall related questions -",
CAPA-MF-1049,MedFluss GmbH,208848,Z-3139-2024,"CareFusion 303, Inc.","Alaris PCA Module Model 8120, a modular infusion pump and monitoring system",Due to affected devices that may have bent female IUI connector and may not be operable and potentially cause delays in the start of the infusion or monitoring.,Process control,Process control,Manufacturing,Lisa Hartmann,Major,Open,2026-02-12,,83,No,"On 08/15/2024, the firm sent an ""URGENT MEDICAL DEVICE PRODUCT CORRECTION"" Letter via FedEx /2-day or email to customers informing them that, BD has identified an increase in bent contacts on the new Female/Left IUI connectors which may cause delays in initiating therapy.

Customer are instructed to:
1. Per current labeling, customers should inspect all IUI connectors prior to use. You may also refer to Appendix A for further details.
2. If you identify a bent/lifted IUI pin prior to use, do not use the device and send the device to biomedical engineering or Qualified Service Personnel for repair.
3. Please distribute this notice to all facility personnel responsible for inspection of BD Alaris"" devices.

For questions/assistance - 
Technical Questions - Technical Support - Phone: 1-866-488-1408, Phone hours: 5:00am to 5:00pm PT, Monday   Friday.
Product Complaints - BD Designated Complaint Handling Unit - Phone: 1-888-812-3266
Phone hours: 7:00am to 5:00pm PT, Monday   Friday, Email: productcomplaints@bd.com.
Email for receipt of customer response form and recall related questions -",
CAPA-MF-1050,MedFluss GmbH,208849,Z-3140-2024,"CareFusion 303, Inc.","Alaris EtCO2 Module Model 8300, a modular infusion pump and monitoring system",Due to affected devices that may have bent female IUI connector and may not be operable and potentially cause delays in the start of the infusion or monitoring.,Process control,Process control,Manufacturing,Carlos Rivera,Minor,Open,2026-02-20,,75,No,"On 08/15/2024, the firm sent an ""URGENT MEDICAL DEVICE PRODUCT CORRECTION"" Letter via FedEx /2-day or email to customers informing them that, BD has identified an increase in bent contacts on the new Female/Left IUI connectors which may cause delays in initiating therapy.

Customer are instructed to:
1. Per current labeling, customers should inspect all IUI connectors prior to use. You may also refer to Appendix A for further details.
2. If you identify a bent/lifted IUI pin prior to use, do not use the device and send the device to biomedical engineering or Qualified Service Personnel for repair.
3. Please distribute this notice to all facility personnel responsible for inspection of BD Alaris"" devices.

For questions/assistance - 
Technical Questions - Technical Support - Phone: 1-866-488-1408, Phone hours: 5:00am to 5:00pm PT, Monday   Friday.
Product Complaints - BD Designated Complaint Handling Unit - Phone: 1-888-812-3266
Phone hours: 7:00am to 5:00pm PT, Monday   Friday, Email: productcomplaints@bd.com.
Email for receipt of customer response form and recall related questions -",
CAPA-MF-1051,MedFluss GmbH,208851,Z-3142-2024,"CareFusion 303, Inc.","Alaris Pump Module Model 8100, a modular infusion pump and monitoring system",Due to affected devices that may have bent female IUI connector and may not be operable and potentially cause delays in the start of the infusion or monitoring.,Process control,Process control,Manufacturing,Lisa Hartmann,Major,Open,2026-02-12,,83,No,"On 08/15/2024, the firm sent an ""URGENT MEDICAL DEVICE PRODUCT CORRECTION"" Letter via FedEx /2-day or email to customers informing them that, BD has identified an increase in bent contacts on the new Female/Left IUI connectors which may cause delays in initiating therapy.

Customer are instructed to:
1. Per current labeling, customers should inspect all IUI connectors prior to use. You may also refer to Appendix A for further details.
2. If you identify a bent/lifted IUI pin prior to use, do not use the device and send the device to biomedical engineering or Qualified Service Personnel for repair.
3. Please distribute this notice to all facility personnel responsible for inspection of BD Alaris"" devices.

For questions/assistance - 
Technical Questions - Technical Support - Phone: 1-866-488-1408, Phone hours: 5:00am to 5:00pm PT, Monday   Friday.
Product Complaints - BD Designated Complaint Handling Unit - Phone: 1-888-812-3266
Phone hours: 7:00am to 5:00pm PT, Monday   Friday, Email: productcomplaints@bd.com.
Email for receipt of customer response form and recall related questions -",
CAPA-MF-1052,MedFluss GmbH,208401,Z-2421-2024,Smiths Medical ASD Inc.,"CADD-Solis VIP ambulatory Infusion Pumps, Model 2120 (21-2120, 21-2125, and 21-2127)
Indicated for the following uses:
Intra-arterial, subcutaneous, intraperitoneal, in close proximity to nerves, into an intraoperative site, epidural space or subarachnoid space. Therapies that require a continuous rate of infusion, intermittent bolus, and/or with patient-controlled demand doses.","The CADD Solis VIP Ambulatory Infusion Pump is indicated for the following uses:
"" For intravenous, intraarterial, subcutaneous, intraperitoneal, perineural, surgical site, epidural space, or subarachnoid space infusion.",Software Manufacturing/Software Deployment,Software Manufacturing/Software Deployment,Quality Assurance,Sarah Müller,Major,Open,2025-11-12,,175,Yes,"Smiths medical issued an URGENT MEDICAL DEVICE CORRECTION notice to its consignees on 02/27/2024 via letter distributed using traceable means.  The notice explained the issues affecting the devices, potential risks, and requested the following:  
""Required Actions for Users:
1. Locate all affected pumps in your possession and ensure all users or potential users of these devices are immediately made aware of this notification and proposed mitigations.
2. Complete and return the attached Response Form to smithsmedical3563@sedgwick.com within ten days of receipt to acknowledge your understanding of this notification, even if you do not have the affected product.
3. DISTRIBUTORS: If you have distributed potentially affected products to your customers, please immediately forward this notice to them. Request that they complete the response form and return it to smithsmedical3563@sedgwick.com
Follow up Actions by Smiths Medical:
Smiths Medical is sending this notification to all affected CADD-Solis customers and is addressing the issues described in this notice through software updates. Smiths Medical will contact you to schedule the implementation of the software updates.""

For questions contact:  
1. Additional information or technical assistance:  TSC.Support@icumed.com; 
1-800-241-4002, option 3, 4 (M-F, 8:00 am   6:00 pm CT)
2. Questions about this Field Correction Notice:  icumed.custhelp.com/app/market-action",
CAPA-MF-1053,MedFluss GmbH,208601,Z-2434-2024,B Braun Medical Inc,"Brand Name: Perfusor Space
Product Name: Perfusor Space Syringe Pump, Wireless
Model/Catalog Number: 8713031U
Software Version: 8713031U
Product Description: Perfusor Space Syringe Pump, Infusion Pump, 1 each
Component: N/A","Perfusor Space Syringe Pump's instructions for use previously identified Monoject syringes as an option for use. However, changes to manufacturing to Cardinal Health Monoject syringes may result in issues with recognition, compatibility, and pump performance, such as overdose, underdose, delay in therapy, delay in occlusion alarms, and delay in feeding. Cardinal Health Monoject syringes are not compatible with the indicated pumps.",Device Design,Device Design,Design & Development,Mohammed Al-Farsi,Minor,Open,2025-12-16,,141,No,"On June 14, 2024, the firm notified customers via URGENT MEDICAL DEVICE FIELD CORRECTION NOTIFICATION letters.

Customers were advised to not use the recalled syringes in Perfusor Space Syringe Pumps. All users should be informed of the correction. Customers were provided with an  attachment to post in care areas as a reminder to not use the recalled syringes with the specified pumps.",
